model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes
LiquidAI/LFM2.5-350M,MD,code_list,0,1000,1000,0.691,0.686,0.38,380,4.499427272471459,-4.332055177796313,0
LiquidAI/LFM2.5-350M,MD,code_A,0,1000,1000,0.596,0.571,0.168,168,2.912664563018119,-2.8993856604211032,0
LiquidAI/LFM2.5-350M,MD,code_B,0,1000,1000,0.598,0.616,0.345,345,7.99464103762597,-8.269500182781274,0
LiquidAI/LFM2.5-350M,phys,phys_newton,0,1000,1000,0.863,0.865,0.732,732,8.020923058483133,-7.9890565312589334,1
LiquidAI/LFM2.5-350M,phys,phys_prost,0,1200,1200,0.775,0.7833333333333333,0.5791666666666667,695,4.529259137615181,-4.680722139772486,0
LiquidAI/LFM2.5-350M,phys,physics_buoyancy,0,1000,745,0.5073825503355704,0.5234899328859061,0.042953020134228186,32,0.36498023569583893,-0.42870424687862396,0
LiquidAI/LFM2.5-350M,phys,physics_brightness,0,1000,687,0.5342066957787481,0.4861717612809316,0.053857350800582245,37,0.7210945180944495,-0.830792336850553,0
LiquidAI/LFM2.5-350M,phys,physics_elasticity,0,1000,412,0.5097087378640777,0.4975728155339806,0.007281553398058253,3,1.6481271584828694,-0.4713442325592041,0
LiquidAI/LFM2.5-350M,phys,physics_solubility,0,1000,554,0.5667870036101083,0.5451263537906137,0.16787003610108303,93,0.5991691158663842,-0.743112487177695,0
LiquidAI/LFM2.5-350M,phys,physics_speed,0,1000,491,0.5193482688391039,0.5112016293279023,0.054989816700611,27,0.6557289671014856,-1.1280915119029857,0
LiquidAI/LFM2.5-350M,phys,physics_stability,0,1000,665,0.5203007518796993,0.5458646616541354,0.09172932330827067,61,0.4331681278885388,-0.48075313841710327,0
LiquidAI/LFM2.5-350M,phys,physics_temperature,0,1000,552,0.5090579710144928,0.4746376811594203,0.08152173913043478,45,0.4613211631774902,-0.6370299021402995,0
LiquidAI/LFM2.5-350M,ToM,agent,0,945,930,0.47096774193548385,0.6053763440860215,0.10967741935483871,102,1.685315563398249,-1.8876645892274146,0
LiquidAI/LFM2.5-350M,ToM,social_interactions,0,204,174,0.7413793103448276,0.7471264367816092,0.4885057471264368,85,3.4084184338064754,-3.6573596659828636,0
LiquidAI/LFM2.5-350M,ToM,social_relations,0,288,283,0.47703180212014135,0.5512367491166078,0.05653710247349823,16,1.0706586092710495,-1.1006288900971413,0
LiquidAI/LFM2.5-350M,ToM,desires_goals,0,1080,960,0.9041666666666667,0.9333333333333333,0.8375,804,5.117089611380847,-6.087110013807591,1
LiquidAI/LFM2.5-350M,ToM,primary_emotions,0,1295,920,0.9173913043478261,0.875,0.7923913043478261,729,5.267092838208862,-6.697010918736295,1
LiquidAI/LFM2.5-350M,ToM,secondary_emotions,0,1600,1150,0.7139130434782609,0.8539130434782609,0.5678260869565217,653,4.836977098473729,-5.676690182130881,0
LiquidAI/LFM2.5-350M,ToM,emotion_fewshot,0,2000,1459,0.5544893762851268,0.5681973954763536,0.13845099383139137,202,0.6312309302905998,-0.8218589183127526,0
LiquidAI/LFM2.5-350M,ToM,norm_appropriate,0,2000,1191,0.5037783375314862,0.4995801847187238,0.0033585222502099076,4,0.7591882944107056,-0.587501049041748,0
LiquidAI/LFM2.5-350M,ToM,norm_moral,0,2000,1569,0.497131931166348,0.5054174633524537,0.004461440407903123,7,0.8714452471051898,-0.5263236590794155,0
