model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes
openai-community/gpt2,MD,simple_equation,0,995,915,0.5092896174863388,0.4994535519125683,0.03715846994535519,34,0.09164316513959099,-0.09274000280043658,0
openai-community/gpt2,MD,number_sorting,0,1000,1000,0.501,0.507,0.014,14,0.325190680367606,-0.20251178741455078,0
openai-community/gpt2,MD,code_conditional,0,1000,1000,0.505,0.494,0.001,1,0.01772308349609375,-0.01062774658203125,0
openai-community/gpt2,MD,code_loop,0,1000,1000,0.539,0.463,0.002,2,0.00379180908203125,-0.002468109130859375,0
openai-community/gpt2,MD,code_list,0,1000,1000,0.493,0.505,0.001,1,0.0289459228515625,-0.01345062255859375,0
openai-community/gpt2,MD,code_A,0,1000,1000,0.51,0.493,0.003,3,0.03773212432861328,-0.03142484029134115,0
openai-community/gpt2,MD,code_B,0,1000,1000,0.489,0.512,0.001,1,0.018339157104492188,-0.023258209228515625,0
openai-community/gpt2,phys,phys_newton,0,1000,1000,0.577,0.578,0.155,155,0.6317701155139553,-0.7065930889498803,0
openai-community/gpt2,phys,phys_prost,0,1200,1200,0.5691666666666667,0.5658333333333333,0.13916666666666666,167,0.5547692019068552,-0.5798176063035063,0
openai-community/gpt2,phys,physics_buoyancy,0,1000,951,0.4931650893796004,0.5068349106203995,0.0,0,0.0,0.0,0
openai-community/gpt2,phys,physics_brightness,0,1000,745,0.512751677852349,0.4966442953020134,0.049664429530201344,37,0.30791161511395426,-0.3424317127949483,0
openai-community/gpt2,phys,physics_elasticity,0,1000,690,0.5173913043478261,0.4826086956521739,0.0,0,0.0,0.0,0
openai-community/gpt2,phys,physics_solubility,0,1000,681,0.48604992657856094,0.5139500734214391,0.0,0,0.0,0.0,0
openai-community/gpt2,phys,physics_speed,0,1000,768,0.46875,0.4817708333333333,0.13020833333333334,100,0.23491447448730468,-0.23605735778808593,0
openai-community/gpt2,phys,physics_stability,0,1000,793,0.4842370744010088,0.5157629255989912,0.0,0,0.0,0.0,0
openai-community/gpt2,phys,physics_temperature,0,1000,629,0.5023847376788553,0.4642289348171701,0.03179650238473768,20,0.250508975982666,-0.2631958484649658,0
openai-community/gpt2,ToM,agent,0,945,945,0.5121693121693122,0.4931216931216931,0.10052910052910052,95,1.3602422513459858,-1.1369361676667866,0
openai-community/gpt2,ToM,social_interactions,0,204,199,0.5728643216080402,0.5477386934673367,0.12562814070351758,25,1.4366777801513673,-1.398723030090332,0
openai-community/gpt2,ToM,social_relations,0,288,288,0.5694444444444444,0.4513888888888889,0.05555555555555555,16,0.40530925989151,-0.521081268787384,0
openai-community/gpt2,ToM,desires_goals,0,1080,960,0.50625,0.709375,0.215625,207,2.996699678725091,-1.6548892495712797,0
openai-community/gpt2,ToM,primary_emotions,0,1295,1295,0.2193050193050193,0.8146718146718147,0.03397683397683398,44,0.28797149658203125,-2.3430604934692383,0
openai-community/gpt2,ToM,secondary_emotions,0,1600,1525,0.4059016393442623,0.8039344262295082,0.2098360655737705,320,0.8713672161102295,-1.1968083322048186,0
openai-community/gpt2,ToM,emotion_fewshot,0,2000,1893,0.5303750660327522,0.5562599049128367,0.13153724247226625,249,0.3104641925857728,-0.3414634068806966,0
openai-community/gpt2,ToM,norm_appropriate,0,2000,1958,0.5056179775280899,0.4943820224719101,0.0,0,0.0,0.0,0
openai-community/gpt2,ToM,norm_moral,0,2000,1976,0.4888663967611336,0.5111336032388664,0.0,0,0.0,0.0,0
